Brand Name,Smartphone Name,Color,RAM,ROM,Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,URL
OnePlus,Nord CE 2 Lite 5G,Blue Tide,6 GB,128 GB,64MP Rear Camera,Primary & Secondary Camera,16.74 cm (6.59 inch),5000 mAh,"₹19,850",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHHJE55ARU&lid=LSTMOBGJMUHHJE55ARUK34G7E&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGJMUHHJE55ARU.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,Nord CE 2 Lite 5G,Blue Tide,6 GB,128 GB,64MP Rear Camera,Primary Camera,16.74 cm (6.59 inch),5000 mAh,"₹19,945",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGKGRADDHG3PN4&lid=LSTMOBGKGRADDHG3PN4EVYXS2&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGKGRADDHG3PN4.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,Nord CE 2 Lite 5G,Blue Tide,6 GB,128 GB,64MP Rear Camera,Primary & Secondary Camera,16.74 cm (6.59 inch),5000 mAh,"₹19,950",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm853d95cf27843?pid=MOBGG6SGBYXGNYMH&lid=LSTMOBGG6SGBYXGNYMHJ0FWCO&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGG6SGBYXGNYMH.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,Nord CE 2 Lite 5G,Black Dusk,6 GB,128 GB,64MP Rear Camera,Primary & Secondary Camera,16.74 cm (6.59 inch),5000 mAh,"₹19,890",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm853d95cf27843?pid=MOBGG6SGT5TVGSG6&lid=LSTMOBGG6SGT5TVGSG6IAYVEP&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGG6SGT5TVGSG6.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,Nord CE 2 Lite,Black Dusk,6 GB,128 MB,64MP Rear Camera,Primary Camera,16.74 cm (6.59 inch),5000 mAh,"₹19,885",https://www.flipkart.com/oneplus-nord-ce-2-lite-black-dusk-128-mb/p/itmc3961887c27f5?pid=MOBGHGZZMGGHZ4FG&lid=LSTMOBGHGZZMGGHZ4FGPLYHZK&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGHGZZMGGHZ4FG.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹19,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGDWFJFBKYTEGP&lid=LSTMOBGDWFJFBKYTEGPBRGAN3&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGDWFJFBKYTEGP.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,Nord CE 2 Lite 5G,Black Dusk,6 GB,128 GB,64MP Rear Camera,Primary & Secondary Camera,16.74 cm (6.59 inch),5000 mAh,"₹19,949",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHBTHF8HPM&lid=LSTMOBGJMUHBTHF8HPMSORW25&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGJMUHBTHF8HPM.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹37,900",https://www.flipkart.com/oneplus-nord-2-5g-pac-man-256-gb/p/itmc88e4a702db46?pid=MOBGEYH6EJGAWMFT&lid=LSTMOBGEYH6EJGAWMFTQWAYZF&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGEYH6EJGAWMFT.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹24,998",https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itm2a9883679c57c?pid=MOBGDBYGG6PPNFD9&lid=LSTMOBGDBYGG6PPNFD9C2SSDV&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGDBYGG6PPNFD9.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹20,899",https://www.flipkart.com/oneplus-nord-ce-5g-charcoal-ink-128-gb/p/itmd6dcbd8116ed1?pid=MOBGDM46BMYENNJN&lid=LSTMOBGDM46BMYENNJNAQJV5A&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGDM46BMYENNJN.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹34,499",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-256-gb/p/itmc88e4a702db46?pid=MOBGDBFRAPSY7GFZ&lid=LSTMOBGDBFRAPSY7GFZNE2WJN&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGDBFRAPSY7GFZ.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹34,499",https://www.flipkart.com/oneplus-nord-2-5g-green-wood-256-gb/p/itmc88e4a702db46?pid=MOBGE7D9U2RVQPH7&lid=LSTMOBGE7D9U2RVQPH7SYU8PJ&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGE7D9U2RVQPH7.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹19,699",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-128-gb/p/itmc88e4a702db46?pid=MOBGDBFFA5EGECHQ&lid=LSTMOBGDBFFA5EGECHQ8R33XE&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGDBFFA5EGECHQ.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,Nord CE 2 Lite 5G,Black Dusk,6 GB,128 GB,64MP Rear Camera,Primary & Secondary Camera,16.74 cm (6.59 inch),5000 mAh,"₹19,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itmbf614aea78882?pid=MOBGH54YTDAJBZSR&lid=LSTMOBGH54YTDAJBZSRZD2SSQ&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGH54YTDAJBZSR.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹33,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGGA29UT2G9QW3&lid=LSTMOBGGA29UT2G9QW3HVHOEB&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGGA29UT2G9QW3.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGHHYZVXCMYDSR&lid=LSTMOBGHHYZVXCMYDSRN0GOJY&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGHHYZVXCMYDSR.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹33,869",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGGCHFNMZDKZTV&lid=LSTMOBGGCHFNMZDKZTVBJYMHD&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGGCHFNMZDKZTV.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,Nord 2T 5G,Jade Fog,12 GB,256 GB,50MP Rear Camera,Primary & Secondary Camera,17.02 cm (6.7 inch),4500 mAh,"₹33,988",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGJMUH3XAHRTFF&lid=LSTMOBGJMUH3XAHRTFFMXQQOF&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGJMUH3XAHRTFF.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,Nord 2T 5G,Jade Fog,8 GB,128 GB,50MP Rear Camera,Primary Camera,17.02 cm (6.7 inch),4500 mAh,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGJMUHQV7XU4GH&lid=LSTMOBGJMUHQV7XU4GHRI3ADN&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGJMUHQV7XU4GH.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹33,860",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGHHYEMNFZGE4W&lid=LSTMOBGHHYEMNFZGE4WYWVQKY&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGHHYEMNFZGE4W.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itm97eda8b1a1566?pid=MOBGFX6BHG7H3AQG&lid=LSTMOBGFX6BHG7H3AQGFF7XSN&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGFX6BHG7H3AQG.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹33,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGFX6PB4EGYBW8&lid=LSTMOBGFX6PB4EGYBW8PMUUET&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBGFX6PB4EGYBW8.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹29,999",https://www.flipkart.com/oneplus-nord-gray-onyx-256-gb/p/itm49f817b591982?pid=MOBFUE5GGWHFC37J&lid=LSTMOBFUE5GGWHFC37JNXZLYZ&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBFUE5GGWHFC37J.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
OnePlus,-,-,-,-,-,-,-,-,"₹24,999",https://www.flipkart.com/oneplus-nord-gray-onyx-64-gb/p/itm49f817b591982?pid=MOBFUE5H57THFNVJ&lid=LSTMOBFUE5H57THFNVJSYCAHJ&marketplace=FLIPKART&q=One+Plus+Nord&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=befc60fc-53ba-4dc8-a742-6ee023c63370.MOBFUE5H57THFNVJ.SEARCH&ppt=hp&ppn=homepage&ssid=676qh8g9rk0000001671994303780&qH=ec6552bf395feccb
